simulation,run,throttle,outflow_rate,target_reserve_ratio,valuation_ratio,productivity,growth,p_variance,p_pull,reserve,circulation,size,saturation,production,utility,price,target_price,netflow,adjustment,subset,substep,timestep,total_supply,market_cap,ratio
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,7473.0,18765.0,100000,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0,0,0,26238.0,262380.0,0.28481591584724447
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,7046.874000000001,19138.65,100000,0.004755699313621816,7024.62,0.6563555189450802,7.797606150495163,29.805305768707708,-373.65000000000003,-52.476,0,1,1,26185.524,204184.4029963387,0.269113346748379
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,6658.115133649149,19475.037818350855,100000,0.006424580345600661,10605.04804415146,0.9588213405881912,5.818471684262001,28.59556354108936,-336.3878183508516,-52.37104800000001,0,1,2,26133.152952000004,152055.01047169993,0.2547765723438892
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,6295.410123815015,19785.476522280987,100000,0.007102246745265683,11854.114316706115,1.059783485759149,5.449579023012998,27.561013399438142,-310.43870393013424,-52.266305904000006,0,1,3,26080.886646096,142129.8527681446,0.24138021874947888
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,5954.24702285368,20074.47784995013,100000,0.0074178250276649565,12404.715612345775,1.103576086178303,4.903885929280347,26.649515267346516,-289.0013276691422,-52.161773292192,0,1,4,26028.72487280381,127641.89766085199,0.22875676975920525
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,5632.311968501113,20344.35545455709,100000,0.007386522818311661,12350.912900514735,1.0993157582485606,6.0124142078657945,25.835946024906928,-269.8776046069601,-52.05744974560762,0,1,5,25976.667423058207,156182.48428739968,0.21682196090717887
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,5327.3331352835285,20597.38095292856,100000,0.007619792945135952,12747.743445398184,1.1306428896798009,3.783831646040482,25.104730011752707,-253.02549837146853,-51.95333484611641,0,1,6,25924.714088212088,98094.75358152842,0.2054924546961872
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,5039.469071422496,20833.39558861317,100000,0.007053096575829435,11766.679304507226,1.0527895592611303,2.6833592114717204,24.442744263292145,-236.01463568460787,-51.84942817642418,0,1,7,25872.864660035666,69426.18971266785,0.19477816382685587
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,4764.605472420961,21056.513458294634,100000,0.006309649931717935,10383.250794260864,0.9406545576025669,3.0698491337771556,23.844289564915687,-223.11786968146436,-51.745729320071334,0,1,8,25821.118930715595,79266.93958261418,0.1845235864954407
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,4501.194852011143,21268.28184084302,100000,0.005826722132339199,9415.691693411944,0.8605430855196865,3.692625398068814,23.29496835858201,-211.76838254838674,-51.64223786143119,0,1,9,25769.476692854165,95157.02413097564,0.17467156611912563
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,4249.608948670258,21468.328790798198,100000,0.005559761511034076,8853.906932004345,0.8133752091723215,3.904713364511145,22.787714884190606,-200.04694995517627,-51.53895338570833,0,1,10,25717.937739468456,100421.17519896802,0.16523910243971565
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,4010.0906908524844,21656.411173137036,100000,0.005358442248036666,8416.254984591142,0.776290878686717,3.9196536904825905,22.320280907267236,-188.08238233883654,-51.435875478936914,0,1,11,25666.50186398952,100603.79875296481,0.15623830283154794
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,3782.2602081843584,21832.90865207718,100000,0.005170082257459251,7995.055536970943,0.7403168133224323,4.5799595360016685,21.890399943875074,-176.4974789401474,-51.33300372797904,0,1,12,25615.16886026154,117316.43688784783,0.1476570476196244
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,3565.534894767162,21998.403627773856,100000,0.005093197035305255,7819.695286392976,0.7252566672185573,5.866022550670769,21.494830218166783,-165.49497569667338,-51.23033772052308,0,1,13,25563.93852254102,149958.6398571868,0.13947517874146229
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,3359.825259097176,22152.98538639876,100000,0.00518181183582588,8021.629790986045,0.7425947753711283,6.1118021153000415,21.13028833596448,-154.58175862490353,-51.12787704508204,0,1,14,25512.810645495934,155929.25007039146,0.13169169425440486
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,3165.3315226353825,22296.453501569562,100000,0.005235290920484982,8142.201299944923,0.7529161790744008,4.528487648683411,20.79475342507623,-143.46811517080206,-51.02562129099187,0,1,15,25461.785024204946,115303.37899554435,0.12431695262631026
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,2981.3173947203286,22429.544059436204,100000,0.00502082312646613,7652.732168876152,0.7108720805033744,6.028929024075744,20.48694775884549,-133.09055786664373,-50.923570048409886,0,1,16,25410.861454156533,153200.2801477319,0.11732453069719387
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,2805.937225951761,22554.102505296458,100000,0.005004942518642517,7615.845982852751,0.7076881581236876,8.002662895148182,20.204052516529366,-124.55844586025471,-50.82172290831307,0,1,17,25360.03973124822,202947.84897674382,0.11064403903493619
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,2639.6922586091273,22669.627393176594,100000,0.005176004323829603,8008.478283199653,0.7414675598151951,11.443765695022982,19.941545837942744,-115.52488788013693,-50.720079462496436,0,1,18,25309.31965178572,289633.92399547645,0.10429724287048868
